CustomerID,Lookalikes
C0001,"[('C0092', 0.9951898131974756), ('C0191', 0.984728270750471), ('C0137', 0.97883574616289)]"
C0002,"[('C0157', 0.9964317842489062), ('C0172', 0.9913607501444832), ('C0029', 0.9872542148527288)]"
C0003,"[('C0049', 0.9603462056611574), ('C0176', 0.9332216877510108), ('C0160', 0.9153953744684954)]"
C0004,"[('C0162', 0.989006933170808), ('C0165', 0.9841719604769784), ('C0068', 0.9817758960669004)]"
C0005,"[('C0123', 0.9898691915071938), ('C0140', 0.9698956490160058), ('C0009', 0.969668941432884)]"
C0006,"[('C0187', 0.9903697578527512), ('C0168', 0.9829985056549246), ('C0139', 0.9537099261275644)]"
C0007,"[('C0074', 0.9714423218149236), ('C0127', 0.9687752973120928), ('C0125', 0.9632829500620028)]"
C0008,"[('C0084', 0.9968096811143408), ('C0195', 0.9853415923971008), ('C0017', 0.9783549141766)]"
C0009,"[('C0140', 0.9914853071184184), ('C0167', 0.986019153230462), ('C0005', 0.969668941432884)]"
C0010,"[('C0072', 0.9680794849491952), ('C0094', 0.9621151259928982), ('C0151', 0.9527866743347868)]"
C0011,"[('C0064', 0.9660177343434032), ('C0056', 0.9356606079597364), ('C0137', 0.9304793828075468)]"
C0012,"[('C0101', 0.9985377326682764), ('C0068', 0.9830487555574056), ('C0143', 0.9828518399125896)]"
C0013,"[('C0141', 0.9977553051040732), ('C0082', 0.9949232411078598), ('C0104', 0.9934968245217612)]"
C0014,"[('C0062', 0.9818642882908998), ('C0097', 0.9816410935223012), ('C0112', 0.980939000377636)]"
C0015,"[('C0103', 0.9867753808943494), ('C0186', 0.9670537707958072), ('C0135', 0.9508638092909448)]"
C0016,"[('C0107', 0.998849105006389), ('C0050', 0.961649145190913), ('C0044', 0.9611441753820752)]"
C0017,"[('C0113', 0.9978203844524408), ('C0165', 0.9846592691417964), ('C0084', 0.984022872177614)]"
C0018,"[('C0105', 0.9680027740179092), ('C0090', 0.9532652903235742), ('C0149', 0.943318082548848)]"
C0019,"[('C0031', 0.9865565782067298), ('C0166', 0.97427159334123), ('C0002', 0.9741089703792168)]"
C0020,"[('C0080', 0.9896297823939436), ('C0120', 0.9698593617826512), ('C0110', 0.9698057683643224)]"
